I-J-K: 1-0-0, True, tested images: 0, ncex=0, covered=1, not_covered=0, d=0.0675183188522, 1:1-1
I-J-K: 1-0-1, True, tested images: 0, ncex=0, covered=2, not_covered=0, d=0.118056738461, 5:5-5
I-J-K: 1-0-2, True, tested images: 0, ncex=0, covered=3, not_covered=0, d=0.115802238175, 3:3-3
I-J-K: 1-0-3, True, tested images: 0, ncex=0, covered=4, not_covered=0, d=0.0552483758723, 2:2-2
I-J-K: 1-0-4, True, tested images: 0, ncex=0, covered=5, not_covered=0, d=0.120497699057, 4:4-4
I-J-K: 1-0-5, True, tested images: 0, ncex=0, covered=6, not_covered=0, d=0.0579038450978, 6:6-6
I-J-K: 1-0-6, True, tested images: 0, ncex=1, covered=7, not_covered=0, d=0.109143820815, 5:5-8
I-J-K: 1-0-7, True, tested images: 0, ncex=1, covered=8, not_covered=0, d=0.0783931385114, 1:1-1
I-J-K: 1-0-8, True, tested images: 0, ncex=1, covered=9, not_covered=0, d=0.0854027293618, 0:0-0
I-J-K: 1-0-9, True, tested images: 0, ncex=1, covered=10, not_covered=0, d=0.07719311976, 9:9-9
I-J-K: 1-0-10, True, tested images: 0, ncex=2, covered=11, not_covered=0, d=0.115776597988, 0:0-8
I-J-K: 1-0-11, True, tested images: 0, ncex=2, covered=12, not_covered=0, d=0.0704480076029, 2:2-2
I-J-K: 1-0-12, True, tested images: 0, ncex=2, covered=13, not_covered=0, d=0.0583352393927, 5:5-5
I-J-K: 1-0-13, True, tested images: 0, ncex=2, covered=14, not_covered=0, d=0.0566790422065, 0:0-0
I-J-K: 1-0-14, True, tested images: 0, ncex=2, covered=15, not_covered=0, d=0.0846446934815, 6:6-6
I-J-K: 1-0-15, True, tested images: 0, ncex=3, covered=16, not_covered=0, d=0.11839630996, 3:3-1
I-J-K: 1-0-16, True, tested images: 0, ncex=3, covered=17, not_covered=0, d=0.0529896072075, 6:6-6
I-J-K: 1-0-17, True, tested images: 0, ncex=3, covered=18, not_covered=0, d=0.107219178064, 4:4-4
I-J-K: 1-0-18, True, tested images: 0, ncex=3, covered=19, not_covered=0, d=0.0773202441435, 0:0-0
I-J-K: 1-0-19, True, tested images: 0, ncex=3, covered=20, not_covered=0, d=0.0768611669412, 9:9-9
I-J-K: 1-0-20, True, tested images: 0, ncex=3, covered=21, not_covered=0, d=0.00636269377369, 0:0-0
I-J-K: 1-0-21, True, tested images: 0, ncex=3, covered=22, not_covered=0, d=0.055442761526, 7:7-7
I-J-K: 1-0-22, True, tested images: 0, ncex=3, covered=23, not_covered=0, d=0.0982665068237, 1:1-1
I-J-K: 1-0-23, True, tested images: 0, ncex=4, covered=24, not_covered=0, d=0.118455797435, 2:2-8
I-J-K: 1-0-24, True, tested images: 0, ncex=4, covered=25, not_covered=0, d=0.014184991434, 6:6-6
I-J-K: 1-0-25, True, tested images: 0, ncex=4, covered=26, not_covered=0, d=0.0405680578752, 5:5-5
I-J-K: 1-0-26, True, tested images: 0, ncex=4, covered=27, not_covered=0, d=0.0408533859533, 9:9-9
I-J-K: 1-0-27, True, tested images: 0, ncex=4, covered=28, not_covered=0, d=0.038799471411, 4:4-4
I-J-K: 1-0-28, True, tested images: 0, ncex=4, covered=29, not_covered=0, d=0.071538517479, 6:6-6
I-J-K: 1-0-29, True, tested images: 0, ncex=5, covered=30, not_covered=0, d=0.046335210045, 4:4-9
I-J-K: 1-0-30, True, tested images: 0, ncex=5, covered=31, not_covered=0, d=0.0327664133199, 1:1-1
I-J-K: 1-0-31, True, tested images: 0, ncex=5, covered=32, not_covered=0, d=0.0356870702174, 7:7-7
I-J-K: 1-0-32, True, tested images: 0, ncex=5, covered=33, not_covered=0, d=0.114757160047, 4:4-4
I-J-K: 1-0-33, True, tested images: 0, ncex=5, covered=34, not_covered=0, d=0.0192393198243, 6:6-6
I-J-K: 1-0-34, True, tested images: 0, ncex=5, covered=35, not_covered=0, d=0.090106757814, 0:0-0
I-J-K: 1-0-35, True, tested images: 0, ncex=5, covered=36, not_covered=0, d=0.135845348226, 0:0-0
I-J-K: 1-0-36, True, tested images: 0, ncex=5, covered=37, not_covered=0, d=0.0560325841238, 4:4-4
I-J-K: 1-0-37, True, tested images: 0, ncex=5, covered=38, not_covered=0, d=0.006532982497, 4:4-4
I-J-K: 1-0-38, True, tested images: 0, ncex=5, covered=39, not_covered=0, d=0.0866923761528, 8:8-8
I-J-K: 1-0-39, True, tested images: 0, ncex=5, covered=40, not_covered=0, d=0.0712038755355, 9:9-9
I-J-K: 1-0-40, True, tested images: 0, ncex=5, covered=41, not_covered=0, d=0.128877416958, 1:1-1
I-J-K: 1-0-41, True, tested images: 0, ncex=6, covered=42, not_covered=0, d=0.132729908295, 9:9-8
I-J-K: 1-0-42, True, tested images: 0, ncex=6, covered=43, not_covered=0, d=0.0713284247944, 9:9-9
I-J-K: 1-0-43, True, tested images: 0, ncex=6, covered=44, not_covered=0, d=0.0555278163101, 6:6-6
I-J-K: 1-0-44, True, tested images: 0, ncex=6, covered=45, not_covered=0, d=0.0432511138111, 4:4-4
I-J-K: 1-0-45, True, tested images: 0, ncex=6, covered=46, not_covered=0, d=0.0497056071157, 1:1-1
I-J-K: 1-0-46, True, tested images: 0, ncex=6, covered=47, not_covered=0, d=0.0771063390117, 7:7-7
I-J-K: 1-0-47, True, tested images: 0, ncex=6, covered=48, not_covered=0, d=0.038059896868, 9:9-9
I-J-K: 1-0-48, True, tested images: 0, ncex=6, covered=49, not_covered=0, d=0.0666785425205, 9:9-9
I-J-K: 1-0-49, True, tested images: 0, ncex=6, covered=50, not_covered=0, d=0.0482838872014, 9:9-9
I-J-K: 1-0-50, True, tested images: 0, ncex=6, covered=51, not_covered=0, d=0.0795213836393, 3:3-3
I-J-K: 1-0-51, True, tested images: 0, ncex=6, covered=52, not_covered=0, d=0.129142152161, 8:8-8
I-J-K: 1-0-52, True, tested images: 0, ncex=7, covered=53, not_covered=0, d=0.117989342663, 3:8-9
I-J-K: 1-0-53, True, tested images: 0, ncex=7, covered=54, not_covered=0, d=0.0586164673627, 5:5-5
I-J-K: 1-0-54, True, tested images: 0, ncex=7, covered=55, not_covered=0, d=0.0206318013917, 4:4-4
I-J-K: 1-1-0, True, tested images: 0, ncex=7, covered=56, not_covered=0, d=0.0394375350769, 1:1-1
I-J-K: 1-1-1, True, tested images: 0, ncex=7, covered=57, not_covered=0, d=0.18266574127, 0:0-0
I-J-K: 1-1-2, True, tested images: 0, ncex=7, covered=58, not_covered=0, d=0.0314707394772, 2:2-2
I-J-K: 1-1-3, True, tested images: 0, ncex=7, covered=59, not_covered=0, d=0.0901336385054, 0:0-0
I-J-K: 1-1-4, True, tested images: 0, ncex=7, covered=60, not_covered=0, d=0.109111404969, 1:1-1
I-J-K: 1-1-5, True, tested images: 0, ncex=8, covered=61, not_covered=0, d=0.0904369837369, 7:7-9
I-J-K: 1-1-6, True, tested images: 0, ncex=8, covered=62, not_covered=0, d=0.0830081477912, 1:1-1
I-J-K: 1-1-7, True, tested images: 0, ncex=8, covered=63, not_covered=0, d=0.0587076660557, 1:1-1
I-J-K: 1-1-8, True, tested images: 0, ncex=9, covered=64, not_covered=0, d=0.140529114867, 4:4-8
I-J-K: 1-1-9, True, tested images: 0, ncex=10, covered=65, not_covered=0, d=0.282013810013, 1:1-6
I-J-K: 1-1-10, True, tested images: 0, ncex=10, covered=66, not_covered=0, d=0.0954324437178, 1:1-1
I-J-K: 1-1-11, True, tested images: 0, ncex=10, covered=67, not_covered=0, d=0.0707895474076, 4:4-4
I-J-K: 1-1-12, True, tested images: 0, ncex=10, covered=68, not_covered=0, d=0.0768381361385, 2:2-2
I-J-K: 1-1-13, True, tested images: 0, ncex=10, covered=69, not_covered=0, d=0.0851512967722, 3:3-3
I-J-K: 1-1-14, True, tested images: 0, ncex=10, covered=70, not_covered=0, d=0.0804543225828, 5:5-5
I-J-K: 1-1-15, True, tested images: 0, ncex=10, covered=71, not_covered=0, d=0.0826167386285, 9:9-9
I-J-K: 1-1-16, True, tested images: 0, ncex=10, covered=72, not_covered=0, d=0.0885246336415, 0:0-0
I-J-K: 1-1-17, True, tested images: 0, ncex=10, covered=73, not_covered=0, d=0.03696148506, 5:5-5
I-J-K: 1-1-18, True, tested images: 0, ncex=10, covered=74, not_covered=0, d=0.0360191176204, 0:0-0
I-J-K: 1-1-19, True, tested images: 0, ncex=11, covered=75, not_covered=0, d=0.155866433217, 3:3-5
I-J-K: 1-1-20, True, tested images: 0, ncex=11, covered=76, not_covered=0, d=0.0230309956087, 1:1-1
I-J-K: 1-1-21, True, tested images: 0, ncex=12, covered=77, not_covered=0, d=0.108390271473, 4:4-8
I-J-K: 1-1-22, True, tested images: 0, ncex=12, covered=78, not_covered=0, d=0.103077068622, 9:9-9
I-J-K: 1-1-23, True, tested images: 0, ncex=12, covered=79, not_covered=0, d=0.0944729455549, 2:2-2
I-J-K: 1-1-24, True, tested images: 0, ncex=12, covered=80, not_covered=0, d=0.0894021167265, 0:0-0
I-J-K: 1-1-25, True, tested images: 0, ncex=12, covered=81, not_covered=0, d=0.0269426872697, 1:1-1
