1-0-0-0: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=1, not_covered=0, d=0.109378203416, 9:9-9
1-0-0-1: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=2, not_covered=0, d=0.109223401662, 5:5-5
1-0-0-2: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=3, not_covered=0, d=0.07985511722, 2:2-2
1-0-0-3: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=4, not_covered=0, d=0.0889274509395, 6:6-6
1-0-0-4: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=5, not_covered=0, d=0.100622771081, 5:5-5
1-0-0-5: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=6, not_covered=0, d=0.117222429567, 6:6-6
1-0-0-6: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=7, not_covered=0, d=0.0832222278072, 4:4-4
1-0-0-7: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=8, not_covered=0, d=0.083727773631, 1:1-1
1-0-0-8: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=9, not_covered=0, d=0.079182553082, 0:0-0
1-0-0-9: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=10, not_covered=0, d=0.0802285747927, 0:0-0
1-0-1-0: 2-0-0-0, True, tested images: 12, cex=False, ncex=0, covered=11, not_covered=0, d=0.141843005398, 3:3-3
1-0-1-1: 2-0-0-0, True, tested images: 16, cex=False, ncex=0, covered=12, not_covered=0, d=0.0300950835593, 7:7-7
1-0-1-2: 2-0-0-0, True, tested images: 5, cex=False, ncex=0, covered=13, not_covered=0, d=0.0717390259204, 2:2-2
1-0-1-3: 2-0-0-0, True, tested images: 1, cex=False, ncex=0, covered=14, not_covered=0, d=0.120918445757, 2:2-2
1-0-1-4: 2-0-0-0, True, tested images: 12, cex=False, ncex=0, covered=15, not_covered=0, d=0.0932365764458, 2:2-2
1-0-1-5: 2-0-0-0, True, tested images: 2, cex=False, ncex=0, covered=16, not_covered=0, d=0.138178172833, 1:1-1
1-0-1-6: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=17, not_covered=0, d=0.119404727161, 8:8-8
1-0-1-7: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=18, not_covered=0, d=0.0903320106903, 1:1-1
1-0-1-8: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=19, not_covered=0, d=0.0845639129927, 9:9-9
1-0-1-9: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=20, not_covered=0, d=0.0905919204993, 5:5-5
1-0-2-0: 2-0-0-0, True, tested images: 4, cex=False, ncex=0, covered=21, not_covered=0, d=0.125432734734, 4:4-4
1-0-2-1: 2-0-0-0, True, tested images: 9, cex=False, ncex=0, covered=22, not_covered=0, d=0.0927448963756, 2:2-2
1-0-2-2: 2-0-0-0, True, tested images: 29, cex=False, ncex=0, covered=23, not_covered=0, d=0.0839555345975, 2:7-7
1-0-2-3: 2-0-0-0, True, tested images: 8, cex=False, ncex=0, covered=24, not_covered=0, d=0.125378303605, 2:2-2
1-0-2-4: 2-0-0-0, True, tested images: 15, cex=False, ncex=0, covered=25, not_covered=0, d=0.0037718791241, 7:7-7
1-0-2-5: 2-0-0-0, True, tested images: 22, cex=False, ncex=0, covered=26, not_covered=0, d=0.0127849611649, 4:4-4
1-0-2-6: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=27, not_covered=0, d=0.0139247038234, 4:4-4
1-0-2-7: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=28, not_covered=0, d=0.0761460388331, 7:7-7
1-0-2-8: 2-0-0-0, True, tested images: 1, cex=False, ncex=0, covered=29, not_covered=0, d=0.0513814638772, 7:7-7
1-0-2-9: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=30, not_covered=0, d=0.0977449804721, 9:9-9
1-0-3-0: 2-0-0-0, True, tested images: 13, cex=False, ncex=0, covered=31, not_covered=0, d=0.0977019036401, 2:2-2
1-0-3-1: 2-0-0-0, True, tested images: 13, cex=False, ncex=0, covered=32, not_covered=0, d=0.0383543644367, 7:7-7
1-0-3-2: 2-0-0-0, False, tested images: 40, cex=False, ncex=0, covered=32, not_covered=1, d=-1, -1:-1--1
1-0-3-3: 2-0-0-0, False, tested images: 40, cex=False, ncex=0, covered=32, not_covered=2, d=-1, -1:-1--1
1-0-3-4: 2-0-0-0, True, tested images: 7, cex=False, ncex=0, covered=33, not_covered=2, d=0.0934729185591, 8:8-8
1-0-3-5: 2-0-0-0, True, tested images: 1, cex=False, ncex=0, covered=34, not_covered=2, d=0.0254198052182, 8:8-8
1-0-3-6: 2-0-0-0, True, tested images: 5, cex=False, ncex=0, covered=35, not_covered=2, d=0.0658523842122, 0:0-0
1-0-3-7: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=36, not_covered=2, d=0.0503089788247, 6:6-6
1-0-3-8: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=37, not_covered=2, d=0.00979607884825, 8:8-8
1-0-3-9: 2-0-0-0, True, tested images: 2, cex=False, ncex=0, covered=38, not_covered=2, d=0.0610627480248, 7:7-7
1-0-4-0: 2-0-0-0, False, tested images: 40, cex=False, ncex=0, covered=38, not_covered=3, d=-1, -1:-1--1
1-0-4-1: 2-0-0-0, False, tested images: 40, cex=False, ncex=0, covered=38, not_covered=4, d=-1, -1:-1--1
1-0-4-2: 2-0-0-0, True, tested images: 5, cex=False, ncex=0, covered=39, not_covered=4, d=0.0455227996508, 2:2-2
1-0-4-3: 2-0-0-0, True, tested images: 6, cex=False, ncex=0, covered=40, not_covered=4, d=0.0320415111989, 4:4-4
1-0-4-4: 2-0-0-0, True, tested images: 20, cex=False, ncex=0, covered=41, not_covered=4, d=0.0520674944696, 0:0-0
1-0-4-5: 2-0-0-0, False, tested images: 40, cex=False, ncex=0, covered=41, not_covered=5, d=-1, -1:-1--1
1-0-4-6: 2-0-0-0, True, tested images: 6, cex=False, ncex=0, covered=42, not_covered=5, d=0.0190678597448, 4:4-4
1-0-4-7: 2-0-0-0, True, tested images: 3, cex=False, ncex=0, covered=43, not_covered=5, d=0.0810268190798, 7:7-7
1-0-4-8: 2-0-0-0, True, tested images: 1, cex=False, ncex=0, covered=44, not_covered=5, d=0.136950613926, 9:9-9
1-0-4-9: 2-0-0-0, True, tested images: 7, cex=False, ncex=0, covered=45, not_covered=5, d=0.0462953835533, 2:2-2
1-0-5-0: 2-0-0-0, True, tested images: 8, cex=False, ncex=0, covered=46, not_covered=5, d=0.151033216376, 8:8-8
1-0-5-1: 2-0-0-0, True, tested images: 23, cex=False, ncex=0, covered=47, not_covered=5, d=0.0628862956267, 8:8-8
1-0-5-2: 2-0-0-0, True, tested images: 10, cex=False, ncex=0, covered=48, not_covered=5, d=0.0715918514889, 7:7-7
1-0-5-3: 2-0-0-0, True, tested images: 5, cex=False, ncex=0, covered=49, not_covered=5, d=0.00840218811163, 9:9-9
1-0-5-4: 2-0-0-0, True, tested images: 8, cex=False, ncex=0, covered=50, not_covered=5, d=0.0368525751325, 3:3-3
1-0-5-5: 2-0-0-0, True, tested images: 8, cex=False, ncex=0, covered=51, not_covered=5, d=0.0074155444226, 6:6-6
1-0-5-6: 2-0-0-0, True, tested images: 1, cex=False, ncex=0, covered=52, not_covered=5, d=0.00977852926574, 3:3-3
1-0-5-7: 2-0-0-0, True, tested images: 2, cex=False, ncex=0, covered=53, not_covered=5, d=0.0261528527849, 2:2-2
1-0-5-8: 2-0-0-0, True, tested images: 9, cex=False, ncex=0, covered=54, not_covered=5, d=0.019518454839, 5:5-5
1-0-5-9: 2-0-0-0, True, tested images: 1, cex=False, ncex=0, covered=55, not_covered=5, d=0.29849123008, 8:8-8
1-0-6-0: 2-0-0-0, False, tested images: 40, cex=False, ncex=0, covered=55, not_covered=6, d=-1, -1:-1--1
1-0-6-1: 2-0-0-0, True, tested images: 19, cex=False, ncex=0, covered=56, not_covered=6, d=0.0206712098482, 2:2-2
1-0-6-2: 2-0-0-0, True, tested images: 5, cex=False, ncex=0, covered=57, not_covered=6, d=0.0737778321268, 0:0-0
1-0-6-3: 2-0-0-0, True, tested images: 12, cex=False, ncex=0, covered=58, not_covered=6, d=0.00128302205897, 8:8-8
1-0-6-4: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=59, not_covered=6, d=0.024846101313, 5:5-5
1-0-6-5: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=60, not_covered=6, d=0.0023048854096, 0:0-0
1-0-6-6: 2-0-0-0, False, tested images: 40, cex=False, ncex=0, covered=60, not_covered=7, d=-1, -1:-1--1
1-0-6-7: 2-0-0-0, True, tested images: 13, cex=False, ncex=0, covered=61, not_covered=7, d=0.0654922536148, 7:7-7
1-0-6-8: 2-0-0-0, True, tested images: 8, cex=False, ncex=0, covered=62, not_covered=7, d=0.200110355109, 4:4-4
1-0-6-9: 2-0-0-0, True, tested images: 2, cex=False, ncex=0, covered=63, not_covered=7, d=0.0473713722638, 4:4-4
1-0-7-0: 2-0-0-0, True, tested images: 3, cex=False, ncex=0, covered=64, not_covered=7, d=0.0167703766985, 3:3-3
1-0-7-1: 2-0-0-0, True, tested images: 33, cex=False, ncex=0, covered=65, not_covered=7, d=0.0578278308987, 3:3-3
1-0-7-2: 2-0-0-0, True, tested images: 32, cex=False, ncex=0, covered=66, not_covered=7, d=0.0988291191519, 7:7-7
1-0-7-3: 2-0-0-0, True, tested images: 8, cex=False, ncex=0, covered=67, not_covered=7, d=0.00868346550187, 9:9-9
1-0-7-4: 2-0-0-0, True, tested images: 17, cex=False, ncex=0, covered=68, not_covered=7, d=0.0181303789697, 4:4-4
1-0-7-5: 2-0-0-0, True, tested images: 0, cex=False, ncex=0, covered=69, not_covered=7, d=0.0238438536067, 2:2-2
1-0-7-6: 2-0-0-0, True, tested images: 1, cex=False, ncex=0, covered=70, not_covered=7, d=0.00753717537382, 6:6-6
1-0-7-7: 2-0-0-0, True, tested images: 15, cex=False, ncex=0, covered=71, not_covered=7, d=0.00323963491676, 3:3-3
1-0-7-8: 2-0-0-0, True, tested images: 4, cex=False, ncex=0, covered=72, not_covered=7, d=0.16076686393, 6:6-6
1-0-7-9: 2-0-0-0, True, tested images: 0, cex=True, ncex=1, covered=73, not_covered=7, d=0.288223843926, 9:9-8
1-0-8-0: 2-0-0-0, False, tested images: 40, cex=False, ncex=1, covered=73, not_covered=8, d=-1, -1:-1--1
1-0-8-1: 2-0-0-0, True, tested images: 17, cex=False, ncex=1, covered=74, not_covered=8, d=0.285888549732, 0:0-0
1-0-8-2: 2-0-0-0, True, tested images: 26, cex=False, ncex=1, covered=75, not_covered=8, d=0.00605970409471, 2:2-2
1-0-8-3: 2-0-0-0, True, tested images: 3, cex=False, ncex=1, covered=76, not_covered=8, d=0.0784129797069, 7:7-7
1-0-8-4: 2-0-0-0, True, tested images: 6, cex=False, ncex=1, covered=77, not_covered=8, d=0.0220438981485, 0:0-0
1-0-8-5: 2-0-0-0, True, tested images: 9, cex=False, ncex=1, covered=78, not_covered=8, d=0.0289588116108, 0:0-0
1-0-8-6: 2-0-0-0, True, tested images: 0, cex=False, ncex=1, covered=79, not_covered=8, d=0.0367453403938, 3:3-3
1-0-8-7: 2-0-0-0, True, tested images: 3, cex=False, ncex=1, covered=80, not_covered=8, d=3.06532713067e-05, 4:4-4
1-0-8-8: 2-0-0-0, True, tested images: 0, cex=False, ncex=1, covered=81, not_covered=8, d=0.0876981321054, 2:2-2
1-0-8-9: 2-0-0-0, True, tested images: 1, cex=False, ncex=1, covered=82, not_covered=8, d=0.00364492652779, 8:8-8
1-0-9-0: 2-0-0-0, True, tested images: 0, cex=False, ncex=1, covered=83, not_covered=8, d=0.198200793307, 4:4-4
1-0-9-1: 2-0-0-0, True, tested images: 8, cex=False, ncex=1, covered=84, not_covered=8, d=0.0992830447269, 7:7-7
1-0-9-2: 2-0-0-0, True, tested images: 0, cex=False, ncex=1, covered=85, not_covered=8, d=0.0020331478332, 2:2-2
1-0-9-3: 2-0-0-0, True, tested images: 4, cex=False, ncex=1, covered=86, not_covered=8, d=0.166343559843, 0:0-0
1-0-9-4: 2-0-0-0, True, tested images: 8, cex=False, ncex=1, covered=87, not_covered=8, d=0.101376306069, 2:2-2
1-0-9-5: 2-0-0-0, True, tested images: 1, cex=False, ncex=1, covered=88, not_covered=8, d=0.0265253774837, 5:5-5
1-0-9-6: 2-0-0-0, True, tested images: 10, cex=False, ncex=1, covered=89, not_covered=8, d=0.000103187445764, 2:2-2
1-0-9-7: 2-0-0-0, True, tested images: 0, cex=False, ncex=1, covered=90, not_covered=8, d=0.114826400597, 3:3-3
1-0-9-8: 2-0-0-0, True, tested images: 2, cex=False, ncex=1, covered=91, not_covered=8, d=0.0159366094308, 0:0-0
1-0-9-9: 2-0-0-0, True, tested images: 0, cex=False, ncex=1, covered=92, not_covered=8, d=0.0205716064208, 4:4-4
1-0-0-2: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=93, not_covered=8, d=0.109392722375, 5:5-5
1-0-0-3: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=94, not_covered=8, d=0.109363880842, 5:5-5
1-0-0-4: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=95, not_covered=8, d=0.104197737227, 7:7-7
1-0-0-5: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=96, not_covered=8, d=0.0946875274845, 6:6-6
1-0-0-6: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=97, not_covered=8, d=0.0896539772516, 6:6-6
1-0-0-7: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=98, not_covered=8, d=0.0928823749618, 8:8-8
1-0-0-8: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=99, not_covered=8, d=0.0829437286491, 2:2-2
1-0-0-9: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=100, not_covered=8, d=0.0764704278957, 4:4-4
1-0-0-10: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=101, not_covered=8, d=0.11210172819, 2:2-2
1-0-0-11: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=102, not_covered=8, d=0.0714989737676, 9:9-9
1-0-1-2: 2-0-0-1, True, tested images: 14, cex=False, ncex=1, covered=103, not_covered=8, d=0.144261106478, 5:5-5
1-0-1-3: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=104, not_covered=8, d=0.140738986388, 3:3-3
1-0-1-4: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=105, not_covered=8, d=0.155693025523, 0:0-0
1-0-1-5: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=106, not_covered=8, d=0.101506327037, 0:0-0
